SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
PSCUJ29,MBG_IDS,ORDER_4 (none),1,0,AGAbort,No,0,,,,,,,9112146,9124050,0,0,0,0,0,0,9124050,
PSCUJ29,MBG_IDS,ORDER_4 (none),1,1,MaxStimulusTime,No,22,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9124050,9142416,0,0,0,0,0,9124414,9142416,
PSCUJ29,MBG_IDS,ORDER_4 (none),2,0,MaxStimulusTime,No,23,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9142417,9162727,0,0,0,0,0,9144726,9162727,
PSCUJ29,MBG_IDS,ORDER_4 (none),3,0,MaxStimulusTime,No,24,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9162729,9183010,0,0,0,0,0,9165010,9183010,
PSCUJ29,MBG_IDS,ORDER_4 (none),4,0,MaxStimulusTime,No,25,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9183013,9203569,0,0,0,0,0,9185568,9203569,
PSCUJ29,MBG_IDS,ORDER_4 (none),5,0,MaxStimulusTime,No,26,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9203569,9223932,0,0,0,0,0,9205932,9223932,
PSCUJ29,MBG_IDS,ORDER_4 (none),6,0,MaxStimulusTime,No,27,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9223933,9243565,0,0,0,0,0,9225564,9243565,
PSCUJ29,MBG_IDS,ORDER_4 (none),7,0,MaxStimulusTime,No,28,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9243566,9264218,0,0,0,0,0,9246218,9264218,
PSCUJ29,MBG_IDS,ORDER_4 (none),8,0,MaxStimulusTime,No,29,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9264219,9283683,0,0,0,0,0,9265681,9283683,
PSCUJ29,MBG_IDS,ORDER_4 (none),9,0,MaxStimulusTime,No,30,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9283684,9304017,0,0,0,0,0,9286017,9304017,
PSCUJ29,MBG_IDS,ORDER_4 (none),10,0,MaxStimulusTime,No,31,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9304018,9325460,0,0,0,0,0,9307460,9325460,
PSCUJ29,MBG_IDS,ORDER_4 (none),11,0,MaxStimulusTime,No,32,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9325463,9346789,0,0,0,0,0,9328789,9346789,
PSCUJ29,MBG_IDS,ORDER_4 (none),12,0,MaxStimulusTime,No,33,ADS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9346791,9365984,0,0,0,0,0,9347983,9365984,
PSCUJ29,MBG_IDS,ORDER_4 (none),13,0,MaxStimulusTime,No,34,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9365985,9386246,0,0,0,0,0,9368245,9386246,
PSCUJ29,MBG_IDS,ORDER_4 (none),14,0,MaxStimulusTime,No,35,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9386250,9418917,0,0,0,0,0,9400916,9418917,
PSCUJ29,MBG_IDS,ORDER_4 (none),15,0,MaxStimulusTime,No,36,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9418920,9444554,0,0,0,0,0,9426554,9444554,
PSCUJ29,MBG_IDS,ORDER_4 (none),16,0,MaxStimulusTime,No,37,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9444557,9466605,0,0,0,0,0,9448604,9466605,
PSCUJ29,MBG_IDS,ORDER_4 (none),17,0,MaxStimulusTime,No,38,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9466610,9486860,0,0,0,0,0,9468858,9486859,
PSCUJ29,MBG_IDS,ORDER_4 (none),18,0,MaxStimulusTime,No,39,IDS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,9486860,9506304,0,0,0,0,0,9488301,9506303,
,,,,,,,,,,,,,,,,,,,,,,,
Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff,,,,,,,,,,,,,,,
